Old URL,New URL,Old Path,New Path,HTTP Status
https://junkyardsnearme.com/junkyards-by-location,https://junkyardsnearme.com/browse,/junkyards-by-location,/browse,301
https://junkyardsnearme.com/junkyards/georgia,https://junkyardsnearme.com/browse/georgia,/junkyards/georgia,/browse/georgia,301
https://junkyardsnearme.com/junkyards/virginia,https://junkyardsnearme.com/browse/virginia,/junkyards/virginia,/browse/virginia,301
https://junkyardsnearme.com/junkyards/georgia=&p=5,https://junkyardsnearme.com/browse/georgia,/junkyards/georgia=&p=5,/browse/georgia,301
https://junkyardsnearme.com/junkyards/west-virginia,https://junkyardsnearme.com/browse/west-virginia,/junkyards/west-virginia,/browse/west-virginia,301
https://junkyardsnearme.com/junkyards/virginia/7364279-downtown-auto-parts-fredericksburg-va,https://junkyardsnearme.com/vendors/7364279-downtown-auto-parts-fredericksburg-va,/junkyards/virginia/7364279-downtown-auto-parts-fredericksburg-va,/vendors/7364279-downtown-auto-parts-fredericksburg-va,301
https://junkyardsnearme.com/junkyards/british-columbia,https://junkyardsnearme.com/browse/british-columbia,/junkyards/british-columbia,/browse/british-columbia,301
https://junkyardsnearme.com/junkyards/west-virginia/5872031-salisbury-auto-salvage-clay-wv,https://junkyardsnearme.com/vendors/5872031-salisbury-auto-salvage-clay-wv,/junkyards/west-virginia/5872031-salisbury-auto-salvage-clay-wv,/vendors/5872031-salisbury-auto-salvage-clay-wv,301
https://junkyardsnearme.com/junkyards/georgia/9998411-cobb-auto-salvage-powder-springs-ga,https://junkyardsnearme.com/vendors/9998411-cobb-auto-salvage-powder-springs-ga,/junkyards/georgia/9998411-cobb-auto-salvage-powder-springs-ga,/vendors/9998411-cobb-auto-salvage-powder-springs-ga,301
https://junkyardsnearme.com/junkyards/nevada,https://junkyardsnearme.com/browse/nevada,/junkyards/nevada,/browse/nevada,301
https://junkyardsnearme.com/junkyards/british-columbia=&p=2,https://junkyardsnearme.com/browse/british-columbia,/junkyards/british-columbia=&p=2,/browse/british-columbia,301
https://junkyardsnearme.com/junkyards/british-columbia/9997484-action-truck-parts-surrey-bc,https://junkyardsnearme.com/vendors/9997484-action-truck-parts-surrey-bc,/junkyards/british-columbia/9997484-action-truck-parts-surrey-bc,/vendors/9997484-action-truck-parts-surrey-bc,301
https://junkyardsnearme.com/junkyards/michigan,https://junkyardsnearme.com/browse/michigan,/junkyards/michigan,/browse/michigan,301
https://junkyardsnearme.com/junkyards/georgia/9998434-columbia-used-auto-parts-decatur-ga,https://junkyardsnearme.com/vendors/9998434-columbia-used-auto-parts-decatur-ga,/junkyards/georgia/9998434-columbia-used-auto-parts-decatur-ga,/vendors/9998434-columbia-used-auto-parts-decatur-ga,301
https://junkyardsnearme.com/junkyards/north-carolina,https://junkyardsnearme.com/browse/north-carolina,/junkyards/north-carolina,/browse/north-carolina,301
https://junkyardsnearme.com/junkyards/british-columbia/9997878-b-c-auto-wrecking-nanaimo-bc,https://junkyardsnearme.com/vendors/9997878-b-c-auto-wrecking-nanaimo-bc,/junkyards/british-columbia/9997878-b-c-auto-wrecking-nanaimo-bc,/vendors/9997878-b-c-auto-wrecking-nanaimo-bc,301
https://junkyardsnearme.com/junkyards/south-dakota,https://junkyardsnearme.com/browse/south-dakota,/junkyards/south-dakota,/browse/south-dakota,301
https://junkyardsnearme.com/junkyards/mississippi,https://junkyardsnearme.com/browse/mississippi,/junkyards/mississippi,/browse/mississippi,301
https://junkyardsnearme.com/junkyards/georgia/3520725-cash-n-carry-pull-your-part-savannah-ga,https://junkyardsnearme.com/vendors/3520725-cash-n-carry-pull-your-part-savannah-ga,/junkyards/georgia/3520725-cash-n-carry-pull-your-part-savannah-ga,/vendors/3520725-cash-n-carry-pull-your-part-savannah-ga,301
https://junkyardsnearme.com/junkyards/west-virginia?%2Fjunkyards%2Fwest-virginia=&p=2,https://junkyardsnearme.com/browse/west-virginia,/junkyards/west-virginia,/browse/west-virginia,301
https://junkyardsnearme.com/junkyards/south-dakota/9999875-k-k-auto-parts-mobridge-sd,https://junkyardsnearme.com/vendors/9999875-k-k-auto-parts-mobridge-sd,/junkyards/south-dakota/9999875-k-k-auto-parts-mobridge-sd,/vendors/9999875-k-k-auto-parts-mobridge-sd,301
